2026-03-20 21:03:00 | INFO | oi_screener | [UNIUSDT] ✅ ОРДЕР ВСТАЛ! Ответ: {'code': 0, 'msg': '', 'data': {'bizError': 0, 'orderID': 'd45e865e-bb99-4d06-a371-6fe7a2d5abc4', 'clOrdID': '', 'symbol': 'UNIUSDT', 'side': 'Buy', 'actionTimeNs': 1774033380964888566, 'transactTimeNs': 1774033380964888566, 'orderType': 'Limit', 'priceRp': '3.034', 'orderQtyRq': '7.42', 'displayQtyRq': '0', 'timeInForce': 'GoodTillCancel', 'closedPnlRv': '0', 'closedSizeRq': '0', 'cumQtyRq': '0', 'cumValueRv': '0', 'leavesQtyRq': '7.42', 'leavesValueRv': '22.51228', 'stopDirection': 'UNSPECIFIED', 'stopPxRp': '0', 'trigger': 'UNSPECIFIED', 'pegOffsetValueRp': '0', 'pegOffsetProportionRr': '0', 'execStatus': 'PendingNew', 'pegPriceType': 'UNSPECIFIED', 'ordStatus': 'Created', 'execInst': 'None', 'takeProfitRp': '0', 'stopLossRp': '0', 'slPxRp': '0', 'tpPxRp': '0'}}
2026-03-20 21:03:01 | INFO | oi_screener | [UNIUSDT] 🗑️ Ордер d45e865e-bb99-4d06-a371-6fe7a2d5abc4 моментально отменен.
2026-03-20 21:03:03 | INFO | oi_screener | [DOTUSDT] ✅ ОРДЕР ВСТАЛ! Ответ: {'code': 0, 'msg': '', 'data': {'bizError': 0, 'orderID': '310cb61d-b7df-4770-9db5-dde6f740f67a', 'clOrdID': '', 'symbol': 'DOTUSDT', 'side': 'Buy', 'actionTimeNs': 1774033383344861383, 'transactTimeNs': 1774033383344861383, 'orderType': 'Limit', 'priceRp': '1.28', 'orderQtyRq': '17.58', 'displayQtyRq': '0', 'timeInForce': 'GoodTillCancel', 'closedPnlRv': '0', 'closedSizeRq': '0', 'cumQtyRq': '0', 'cumValueRv': '0', 'leavesQtyRq': '17.58', 'leavesValueRv': '22.5024', 'stopDirection': 'UNSPECIFIED', 'stopPxRp': '0', 'trigger': 'UNSPECIFIED', 'pegOffsetValueRp': '0', 'pegOffsetProportionRr': '0', 'execStatus': 'PendingNew', 'pegPriceType': 'UNSPECIFIED', 'ordStatus': 'Created', 'execInst': 'None', 'takeProfitRp': '0', 'stopLossRp': '0', 'slPxRp': '0', 'tpPxRp': '0'}}
2026-03-20 21:03:03 | INFO | oi_screener | [DOTUSDT] 🗑️ Ордер 310cb61d-b7df-4770-9db5-dde6f740f67a моментально отменен.
2026-03-20 21:03:06 | INFO | oi_screener | [LINKUSDT] ✅ ОРДЕР ВСТАЛ! Ответ: {'code': 0, 'msg': '', 'data': {'bizError': 0, 'orderID': 'c6758ecb-4486-47dd-8fb0-6a14f07cdb34', 'clOrdID': '', 'symbol': 'LINKUSDT', 'side': 'Buy', 'actionTimeNs': 1774033385996831120, 'transactTimeNs': 1774033385996831120, 'orderType': 'Limit', 'priceRp': '7.661', 'orderQtyRq': '2.94', 'displayQtyRq': '0', 'timeInForce': 'GoodTillCancel', 'closedPnlRv': '0', 'closedSizeRq': '0', 'cumQtyRq': '0', 'cumValueRv': '0', 'leavesQtyRq': '2.94', 'leavesValueRv': '22.52334', 'stopDirection': 'UNSPECIFIED', 'stopPxRp': '0', 'trigger': 'UNSPECIFIED', 'pegOffsetValueRp': '0', 'pegOffsetProportionRr': '0', 'execStatus': 'PendingNew', 'pegPriceType': 'UNSPECIFIED', 'ordStatus': 'Created', 'execInst': 'None', 'takeProfitRp': '0', 'stopLossRp': '0', 'slPxRp': '0', 'tpPxRp': '0'}}
2026-03-20 21:03:06 | INFO | oi_screener | [LINKUSDT] 🗑️ Ордер c6758ecb-4486-47dd-8fb0-6a14f07cdb34 моментально отменен.
2026-03-20 21:03:08 | INFO | oi_screener | [ATOMUSDT] ✅ ОРДЕР ВСТАЛ! Ответ: {'code': 0, 'msg': '', 'data': {'bizError': 0, 'orderID': '5aeb5510-c2c3-4a4b-91c1-c00b6dbb3fec', 'clOrdID': '', 'symbol': 'ATOMUSDT', 'side': 'Buy', 'actionTimeNs': 1774033388264805241, 'transactTimeNs': 1774033388264805241, 'orderType': 'Limit', 'priceRp': '1.54', 'orderQtyRq': '14.61', 'displayQtyRq': '0', 'timeInForce': 'GoodTillCancel', 'closedPnlRv': '0', 'closedSizeRq': '0', 'cumQtyRq': '0', 'cumValueRv': '0', 'leavesQtyRq': '14.61', 'leavesValueRv': '22.4994', 'stopDirection': 'UNSPECIFIED', 'stopPxRp': '0', 'trigger': 'UNSPECIFIED', 'pegOffsetValueRp': '0', 'pegOffsetProportionRr': '0', 'execStatus': 'PendingNew', 'pegPriceType': 'UNSPECIFIED', 'ordStatus': 'Created', 'execInst': 'None', 'takeProfitRp': '0', 'stopLossRp': '0', 'slPxRp': '0', 'tpPxRp': '0'}}
2026-03-20 21:03:08 | INFO | oi_screener | [ATOMUSDT] 🗑️ Ордер 5aeb5510-c2c3-4a4b-91c1-c00b6dbb3fec моментально отменен.
2026-03-20 21:03:10 | WARNING | oi_screener | [LTCUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:10 | WARNING | oi_screener | [LTCUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
